t,h,y,y_potential,y_autonomous,r_expected,r_cb,r_natural,pi,pi_expected,pi_long_run,pi_target,gamma,theta,alpha,phi_pi,phi_y,chi,eta
98,0.0,1.000909090909088,1.000909090909088,1.11,0.054545454545455965,0.054545454545455965,0.05454545454545601,0.035,0.035,0.03500000000000001,0.035,2.0,0.3,0.25,1.5,0.25,0.1,0.05
99,0.0,1.000909090909088,1.000909090909088,1.11,0.054545454545455965,0.054545454545455965,0.05454545454545601,0.035,0.035,0.03500000000000001,0.035,2.0,0.3,0.25,1.5,0.25,0.1,0.05
100,0.0,1.000909090909088,1.000909090909088,1.11,0.054545454545455965,0.054545454545455965,0.05454545454545601,0.035,0.035,0.03500000000000001,0.035,2.0,0.3,0.25,1.5,0.25,0.1,0.05
101,0.0,1.000909090909088,1.000909090909088,1.11,0.054545454545455965,0.054545454545455965,0.05454545454545601,0.035,0.035,0.03500000000000001,0.035,2.0,0.3,0.25,1.5,0.25,0.1,0.05
102,0.0,1.000909090909088,1.000909090909088,1.11,0.054545454545455965,0.054545454545455965,0.05454545454545601,0.035,0.035,0.03500000000000001,0.035,2.0,0.3,0.25,1.5,0.25,0.1,0.05
103,0.0,1.000909090909088,1.000909090909088,1.11,0.054545454545455965,0.054545454545455965,0.05454545454545601,0.035,0.035,0.03500000000000001,0.035,2.0,0.3,0.25,1.5,0.25,0.1,0.05
104,0.0,1.000909090909088,1.000909090909088,1.11,0.054545454545455965,0.054545454545455965,0.05454545454545601,0.035,0.035,0.03500000000000001,0.035,2.0,0.3,0.25,1.5,0.25,0.1,0.05
105,0.0,1.000909090909088,1.000909090909088,1.11,0.054545454545455965,0.054545454545455965,0.05454545454545601,0.035,0.035,0.03500000000000001,0.035,2.0,0.3,0.25,1.5,0.25,0.1,0.05
106,0.0,1.000909090909088,1.000909090909088,1.11,0.054545454545455965,0.054545454545455965,0.05454545454545601,0.035,0.035,0.03500000000000001,0.035,2.0,0.3,0.25,1.5,0.25,0.1,0.05
107,0.0,1.000909090909088,1.000909090909088,1.11,0.054545454545455965,0.054545454545455965,0.05454545454545601,0.035,0.035,0.03500000000000001,0.035,2.0,0.3,0.25,1.5,0.25,0.1,0.05
108,0.0,1.000909090909088,1.000909090909088,1.11,0.054545454545455965,0.054545454545455965,0.05454545454545601,0.035,0.035,0.03500000000000001,0.035,2.0,0.3,0.25,1.5,0.25,0.1,0.05
109,0.0,1.000909090909088,1.000909090909088,1.11,0.054545454545455965,0.054545454545455965,0.05454545454545601,0.035,0.035,0.03500000000000001,0.035,2.0,0.3,0.25,1.5,0.25,0.1,0.05
110,0.0,1.000909090909088,1.000909090909088,1.11,0.054545454545455965,0.054545454545455965,0.05454545454545601,0.035,0.035,0.03500000000000001,0.035,2.0,0.3,0.25,1.5,0.25,0.1,0.05
111,0.0,1.000909090909088,1.000909090909088,1.11,0.054545454545455965,0.054545454545455965,0.05454545454545601,0.035,0.035,0.03500000000000001,0.035,2.0,0.3,0.25,1.5,0.25,0.1,0.05
112,0.0,1.000909090909088,1.000909090909088,1.11,0.054545454545455965,0.054545454545455965,0.05454545454545601,0.035,0.035,0.03500000000000001,0.035,2.0,0.3,0.25,1.5,0.25,0.1,0.05
113,0.0,1.000909090909088,1.000909090909088,1.11,0.054545454545455965,0.054545454545455965,0.05454545454545601,0.035,0.035,0.03500000000000001,0.035,2.0,0.3,0.25,1.5,0.25,0.1,0.05
114,0.0,1.000909090909088,1.000909090909088,1.11,0.054545454545455965,0.054545454545455965,0.05454545454545601,0.035,0.035,0.03500000000000001,0.035,2.0,0.3,0.25,1.5,0.25,0.1,0.05
